date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:44	245953/245953	---M--	200	added ('OK')	image/jpeg	etag:%223c0c1-69e88c00-df01e3dbd5ffe2fa;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/spatchcock-chicken.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/spatchcock-chicken.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:44	83885/83885	U-----	200	untouched ('OK')	text/html	etag:%22147ad-69e88bfa-837dfd83f08f5d49;gz%22	https://themes.aksharwebtech.com/restrova/index-2.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/index-2.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:44	413336/413336	---M--	200	added ('OK')	image/jpeg	etag:%2264e98-69e88c00-5b75b5768d4da70d;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/pizza-margherita.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/pizza-margherita.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:44	127462/127462	U-----	200	untouched ('OK')	text/html	etag:%221f1e6-69e88bfa-12c1b472c0faf677;gz%22	https://themes.aksharwebtech.com/restrova/menu.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/menu.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:44	266451/266451	---M--	200	added ('OK')	image/jpeg	etag:%22410d3-69e88c00-8f8b300d0bdbf1ae;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/cannoli-siciliani.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/cannoli-siciliani.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:45	63906/63906	---M--	200	added ('OK')	image/jpeg	etag:%22f9a2-69e88c01-91df620e58ecfca3;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/testimonials/alisa1.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/testimonials/alisa1.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:45	76857/76857	U-----	200	untouched ('OK')	text/html	etag:%2212c39-69e88bfa-343bbea5e51ed0f7;gz%22	https://themes.aksharwebtech.com/restrova/menu-detail.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/menu-detail.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:45	55360/55360	---M--	200	added ('OK')	image/jpeg	etag:%22d840-69e88c01-7fae813ab996af23;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/testimonials/alisa2.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/testimonials/alisa2.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:45	53839/53839	U-----	200	untouched ('OK')	text/html	etag:%22d24f-69e88bfb-38eb27f1998efcd7;gz%22	https://themes.aksharwebtech.com/restrova/about.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/about.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:45	71531/71531	---M-Z	200	added ('OK')	application/x-javascript	etag:%221176b-69e88bfd-88ddc5036400c8ba;gz%22	https://themes.aksharwebtech.com/restrova/assets/js/gsap.min.js	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/js/gsap.min.js	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:45	51893/51893	U-----	200	untouched ('OK')	text/html	etag:%22cab5-69e88bfa-34a8221abce9696;gz%22	https://themes.aksharwebtech.com/restrova/our-chefs.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/our-chefs.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:51	60843/60843	U-----	200	untouched ('OK')	text/html	etag:%22edab-69e88bfa-dc1aa54d19a556fb;gz%22	https://themes.aksharwebtech.com/restrova/cart.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/cart.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:52	63285/63285	U-----	200	untouched ('OK')	text/html	etag:%22f735-69e88bfb-59f6984d02f9965c;gz%22	https://themes.aksharwebtech.com/restrova/shop.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/shop.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:52	62806/62806	U-----	200	untouched ('OK')	text/html	etag:%22f556-69e88bfb-9fb6c48198bc204a;gz%22	https://themes.aksharwebtech.com/restrova/testimonials.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/testimonials.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:52	76709/76709	U-----	200	untouched ('OK')	text/html	etag:%2212ba5-69e88bfb-5ec282e44044be80;gz%22	https://themes.aksharwebtech.com/restrova/shop-details.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/shop-details.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	56393/56393	U-----	200	untouched ('OK')	text/html	etag:%22dc49-69e88bfa-f18d72122917c985;gz%22	https://themes.aksharwebtech.com/restrova/gallery.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/gallery.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	61801/61801	U-----	200	untouched ('OK')	text/html	etag:%22f169-69e88bfa-a4e719477330b533;gz%22	https://themes.aksharwebtech.com/restrova/checkout.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/checkout.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	54425/54425	U-----	200	untouched ('OK')	text/html	etag:%22d499-69e88bfb-be3faff61b5ac89c;gz%22	https://themes.aksharwebtech.com/restrova/terms-conditions.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/terms-conditions.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	66871/66871	U-----	200	untouched ('OK')	text/html	etag:%2210537-69e88bfa-5ff89cae42771e16;gz%22	https://themes.aksharwebtech.com/restrova/privacy-policy.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/privacy-policy.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	56216/56216	U-----	200	untouched ('OK')	text/html	etag:%22db98-69e88bfb-751f1977fd139245;gz%22	https://themes.aksharwebtech.com/restrova/reservation.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/reservation.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	83496/83496	U-----	200	untouched ('OK')	text/html	etag:%2214628-69e88bfa-b7fa4782dcc64f4;gz%22	https://themes.aksharwebtech.com/restrova/faq.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/faq.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	37640/37640	U-----	200	untouched ('OK')	text/html	etag:%229308-69e88bfb-63c8c7779e359466;gz%22	https://themes.aksharwebtech.com/restrova/404.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/404.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:53	73448/73448	U-----	200	untouched ('OK')	text/html	etag:%2211ee8-69e88bfb-2fb4ad5fb3a9b016;gz%22	https://themes.aksharwebtech.com/restrova/blog.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/blog.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:54	162523/162523	---M--	200	added ('OK')	image/jpeg	etag:%2227adb-69e88bfd-399953a2e141a687;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/aboutus/about-us.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/aboutus/about-us.jpg	(from https://themes.aksharwebtech.com/restrova/assets/css/style.css)
13:32:54	59783/59783	U-----	200	untouched ('OK')	text/html	etag:%22e987-69e88bfb-9a7d2eb66b8c8981;gz%22	https://themes.aksharwebtech.com/restrova/blog-details.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/blog-details.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:54	44412/44412	U-----	200	untouched ('OK')	text/html	etag:%22ad7c-69e88bfa-440732cd6b57e952;gz%22	https://themes.aksharwebtech.com/restrova/contact.html	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/contact.html	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:54	185789/185789	U-----	200	untouched ('')	image/jpeg	etag:%222d5bd-69e88c00-b1f23125c1bb7d97;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/ribeye-fiorentina.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/ribeye-fiorentina.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:54	143775/143775	U-----	200	untouched ('')	image/jpeg	etag:%222319f-69e88c00-fd7d540f80af09f8;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/cacio-e-pepe.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/cacio-e-pepe.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:55	110683/110683	U-----	200	untouched ('')	image/jpeg	etag:%221b05b-69e88c00-6548484c5c9f0938;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/vanilla-panna-cotta.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/vanilla-panna-cotta.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
13:32:55	100990/100990	---M--	200	added ('OK')	image/png	etag:%2218a7e-69e88c00-1db3ebaf4c22dee;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/homepage-2/pizza.png	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/homepage-2/pizza.png	(from https://themes.aksharwebtech.com/restrova/index-2.html)
13:32:55	162523/162523	U-----	200	untouched ('')	image/jpeg	etag:%2227adb-69e88c00-5e4d1520b2a1897;;;%22	https://themes.aksharwebtech.com/restrova/assets/images/menu/burrata-classica.jpg	C:/Users/priya/Desktop/dr/themes.aksharwebtech.com/restrova/assets/images/menu/burrata-classica.jpg	(from https://themes.aksharwebtech.com/restrova/index.html)
